time,actionName,score,cost,distanceCost,totalCost,hunger,sleep,money,inventory0.00,Eat,0.74,0.20,0.00,0.20,49.00,51.00,10.00,0.00
38.88,DropOffResource,0.83,0.30,0.00,0.00,4.00,43.00,50.00,80.00
41.39,Sleep,0.62,0.10,0.00,0.00,5.00,42.00,50.00,100.00
44.45,DropOffResource,1.00,0.30,0.00,0.00,5.00,42.00,50.00,100.00
47.17,Work,0.99,0.40,0.00,0.00,6.00,41.00,70.00,0.00
50.64,Sleep,0.63,0.10,0.00,0.00,6.00,41.00,70.00,20.00
51.98,Sleep,0.65,0.10,0.00,0.00,7.00,40.00,70.00,100.00
52.07,DropOffResource,1.00,0.30,0.00,0.00,7.00,40.00,70.00,100.00
55.01,DropOffResource,1.00,0.30,0.00,0.00,7.00,40.00,70.00,100.00
55.12,Work,0.98,0.40,0.00,0.00,7.00,40.00,90.00,0.00
58.78,Sleep,0.66,0.10,0.00,0.00,8.00,39.00,90.00,20.00
60.28,DropOffResource,1.00,0.30,0.00,0.00,8.00,39.00,90.00,100.00
63.16,Work,0.98,0.40,0.00,0.00,9.00,38.00,90.00,100.00
66.66,DropOffResource,1.00,0.30,0.00,0.00,10.00,37.00,90.00,100.00
68.98,DropOffResource,1.00,0.30,0.00,0.00,10.00,37.00,90.00,100.00
69.08,Work,0.98,0.40,0.00,0.00,10.00,37.00,90.00,100.00
69.66,Sleep,0.69,0.10,0.00,0.00,10.00,37.00,90.00,100.00
75.28,DropOffResource,1.00,0.30,0.00,0.00,11.00,38.00,90.00,100.00
78.02,DropOffResource,1.00,0.30,0.00,0.00,12.00,100.00,90.00,100.00
78.16,Work,0.97,0.40,0.00,0.00,12.00,100.00,110.00,0.00
78.73,Work,0.97,0.40,0.00,0.00,12.00,100.00,110.00,0.00
83.86,Work,0.97,0.40,0.00,0.00,13.00,99.00,110.00,20.00
83.95,Work,0.97,0.40,0.00,0.00,13.00,99.00,110.00,50.00
84.13,DropOffResource,0.83,0.30,0.00,0.00,13.00,99.00,110.00,80.00
86.55,Work,0.97,0.40,0.00,0.00,14.00,98.00,110.00,100.00
87.12,DropOffResource,1.00,0.30,0.00,0.00,14.00,98.00,110.00,100.00
88.67,Eat,0.26,0.20,0.00,0.00,14.00,98.00,110.00,100.00
88.79,DropOffResource,1.00,0.30,0.00,0.00,0.00,98.00,100.00,100.00
88.90,Work,0.96,0.40,0.00,0.00,0.00,98.00,120.00,0.00
92.58,Work,0.96,0.40,0.00,0.00,1.00,97.00,120.00,20.00
92.68,Work,0.96,0.40,0.00,0.00,1.00,97.00,120.00,40.00
92.76,DropOffResource,0.47,0.30,0.00,0.00,1.00,97.00,120.00,60.00
95.25,Work,0.96,0.40,0.00,0.00,1.00,97.00,120.00,100.00
95.82,Sleep,0.00,0.10,0.00,0.00,1.00,97.00,120.00,100.00
101.39,DropOffResource,1.00,0.30,0.00,0.00,3.00,97.00,120.00,100.00
time,actionName,score,cost,distanceCost,totalCost,hunger,sleep,money,inventory0.00,Eat,0.74,0.20,0.00,0.00,49.00,51.00,10.00,0.00
0.18,Work,1.00,0.40,0.00,0.00,20.00,50.00,0.00,0.00
3.36,Work,1.00,0.40,0.00,0.00,20.00,50.00,0.00,20.00
3.44,Work,1.00,0.40,0.00,0.00,20.00,50.00,0.00,50.00
3.52,DropOffResource,0.83,0.30,0.00,0.00,20.00,50.00,0.00,80.00
4.64,DropOffResource,1.00,0.30,0.00,0.00,20.00,50.00,0.00,100.00
